year,emissions,country
1957,0,AFGHANISTAN
1958,0,AFGHANISTAN
1959,0,AFGHANISTAN
1960,0,AFGHANISTAN
1961,0,AFGHANISTAN
1962,0,AFGHANISTAN
1963,0,AFGHANISTAN
1964,0,AFGHANISTAN
1965,0,AFGHANISTAN
1966,0,AFGHANISTAN
1967,0,AFGHANISTAN
1968,0,AFGHANISTAN
1969,0,AFGHANISTAN
1970,0,AFGHANISTAN
1971,0,AFGHANISTAN
1972,0,AFGHANISTAN
1973,0,AFGHANISTAN
1974,0,AFGHANISTAN
1975,0,AFGHANISTAN
1976,0,AFGHANISTAN
1977,0,AFGHANISTAN
1978,0,AFGHANISTAN
1979,0,AFGHANISTAN
1980,0,AFGHANISTAN
1981,0,AFGHANISTAN
1982,0,AFGHANISTAN
1983,0,AFGHANISTAN
1984,0,AFGHANISTAN
1985,0,AFGHANISTAN
1986,0,AFGHANISTAN
1987,0,AFGHANISTAN
1988,0,AFGHANISTAN
1989,0,AFGHANISTAN
1990,0,AFGHANISTAN
1991,0,AFGHANISTAN
1992,0,AFGHANISTAN
1993,0,AFGHANISTAN
1994,0,AFGHANISTAN
1995,0,AFGHANISTAN
1996,0,AFGHANISTAN
1997,0,AFGHANISTAN
1998,0,AFGHANISTAN
1999,0,AFGHANISTAN
2000,0,AFGHANISTAN
2001,0,AFGHANISTAN
2002,0,AFGHANISTAN
2003,0,AFGHANISTAN
2004,0,AFGHANISTAN
2005,0,AFGHANISTAN
2006,0,AFGHANISTAN
2007,0,AFGHANISTAN
2008,0,AFGHANISTAN
2009,0,AFGHANISTAN
2010,0,AFGHANISTAN
2011,0,AFGHANISTAN
2012,0,AFGHANISTAN
2013,0,AFGHANISTAN
2014,0,AFGHANISTAN
1850,0,AFGHANISTAN
1851,0,AFGHANISTAN
1852,0,AFGHANISTAN
1853,0,AFGHANISTAN
1854,0,AFGHANISTAN
1855,0,AFGHANISTAN
1856,0,AFGHANISTAN
1857,0,AFGHANISTAN
1858,0,AFGHANISTAN
1859,0,AFGHANISTAN
1860,0,AFGHANISTAN
1861,0,AFGHANISTAN
1862,0,AFGHANISTAN
1863,0,AFGHANISTAN
1864,0,AFGHANISTAN
1865,0,AFGHANISTAN
1866,0,AFGHANISTAN
1867,0,AFGHANISTAN
1868,0,AFGHANISTAN
1869,0,AFGHANISTAN
1870,0,AFGHANISTAN
1871,0,AFGHANISTAN
1872,0,AFGHANISTAN
1873,0,AFGHANISTAN
1874,0,AFGHANISTAN
1875,0,AFGHANISTAN
1876,0,AFGHANISTAN
1877,0,AFGHANISTAN
1878,0,AFGHANISTAN
1879,0,AFGHANISTAN
1880,0,AFGHANISTAN
1881,0,AFGHANISTAN
1882,0,AFGHANISTAN
1883,0,AFGHANISTAN
1884,0,AFGHANISTAN
1885,0,AFGHANISTAN
1886,0,AFGHANISTAN
1887,0,AFGHANISTAN
1888,0,AFGHANISTAN
1889,0,AFGHANISTAN
1890,0,AFGHANISTAN
1891,0,AFGHANISTAN
1892,0,AFGHANISTAN
1893,0,AFGHANISTAN
1894,0,AFGHANISTAN
1895,0,AFGHANISTAN
1896,0,AFGHANISTAN
1897,0,AFGHANISTAN
1898,0,AFGHANISTAN
1899,0,AFGHANISTAN
1900,0,AFGHANISTAN
1901,0,AFGHANISTAN
1902,0,AFGHANISTAN
1903,0,AFGHANISTAN
1904,0,AFGHANISTAN
1905,0,AFGHANISTAN
1906,0,AFGHANISTAN
1907,0,AFGHANISTAN
1908,0,AFGHANISTAN
1909,0,AFGHANISTAN
1910,0,AFGHANISTAN
1911,0,AFGHANISTAN
1912,0,AFGHANISTAN
1913,0,AFGHANISTAN
1914,0,AFGHANISTAN
1915,0,AFGHANISTAN
1916,0,AFGHANISTAN
1917,0,AFGHANISTAN
1918,0,AFGHANISTAN
1919,0,AFGHANISTAN
1920,0,AFGHANISTAN
1921,0,AFGHANISTAN
1922,0,AFGHANISTAN
1923,0,AFGHANISTAN
1924,0,AFGHANISTAN
1925,0,AFGHANISTAN
1926,0,AFGHANISTAN
1927,0,AFGHANISTAN
1928,0,AFGHANISTAN
1929,0,AFGHANISTAN
1930,0,AFGHANISTAN
1931,0,AFGHANISTAN
1932,0,AFGHANISTAN
1933,0,AFGHANISTAN
1934,0,AFGHANISTAN
1935,0,AFGHANISTAN
1936,0,AFGHANISTAN
1937,0,AFGHANISTAN
1938,0,AFGHANISTAN
1939,0,AFGHANISTAN
1940,0,AFGHANISTAN
1941,0,AFGHANISTAN
1942,0,AFGHANISTAN
1943,0,AFGHANISTAN
1944,0,AFGHANISTAN
1945,0,AFGHANISTAN
1946,0,AFGHANISTAN
1947,0,AFGHANISTAN
1948,0,AFGHANISTAN
1949,0,AFGHANISTAN
1950,0,AFGHANISTAN
1951,0,AFGHANISTAN
1952,0,AFGHANISTAN
1953,0,AFGHANISTAN
1954,0,AFGHANISTAN
1955,10,AFGHANISTAN
1956,0,AFGHANISTAN
1957,0,AFGHANISTAN
1958,0,AFGHANISTAN
1959,0,AFGHANISTAN
1960,0,AFGHANISTAN
1961,0,AFGHANISTAN
1962,0,AFGHANISTAN
1963,0,AFGHANISTAN
1964,0,AFGHANISTAN
1965,0,AFGHANISTAN
1966,0,AFGHANISTAN
1967,0,AFGHANISTAN
1968,0,AFGHANISTAN
1969,0,AFGHANISTAN
1970,0,AFGHANISTAN
1971,0,AFGHANISTAN
1972,0,AFGHANISTAN
1973,0,AFGHANISTAN
1974,0,AFGHANISTAN
1975,0,AFGHANISTAN
1976,0,AFGHANISTAN
1977,0,AFGHANISTAN
1978,0,AFGHANISTAN
1979,0,AFGHANISTAN
1980,0,AFGHANISTAN
1981,0,AFGHANISTAN
1982,0,AFGHANISTAN
1983,0,AFGHANISTAN
1984,0,AFGHANISTAN
1985,0,AFGHANISTAN
1986,0,AFGHANISTAN
1987,0,AFGHANISTAN
1988,0,AFGHANISTAN
1989,0,AFGHANISTAN
1990,0,AFGHANISTAN
1991,0,AFGHANISTAN
1992,0,AFGHANISTAN
1993,0,AFGHANISTAN
1994,0,AFGHANISTAN
1995,0,AFGHANISTAN
1996,0,AFGHANISTAN
1997,0,AFGHANISTAN
1998,0,AFGHANISTAN
1999,0,AFGHANISTAN
2000,0,AFGHANISTAN
2001,0,AFGHANISTAN
2002,0,AFGHANISTAN
2003,0,AFGHANISTAN
2004,0,AFGHANISTAN
2005,0,AFGHANISTAN
2006,0,AFGHANISTAN
2007,0,AFGHANISTAN
2008,0,AFGHANISTAN
2009,0,AFGHANISTAN
2010,0,AFGHANISTAN
2011,0,AFGHANISTAN
2012,0,AFGHANISTAN
2013,0,AFGHANISTAN
2014,0,AFGHANISTAN
1850,0,AFGHANISTAN
1851,0,AFGHANISTAN
1852,0,AFGHANISTAN
1853,0,AFGHANISTAN
1854,0,AFGHANISTAN
1855,0,AFGHANISTAN
1856,0,AFGHANISTAN
1857,0,AFGHANISTAN
1858,0,AFGHANISTAN
1859,0,AFGHANISTAN
1860,0,AFGHANISTAN
1861,0,AFGHANISTAN
1862,0,AFGHANISTAN
1863,0,AFGHANISTAN
1864,0,AFGHANISTAN
1865,0,AFGHANISTAN
1866,0,AFGHANISTAN
1867,0,AFGHANISTAN
1868,0,AFGHANISTAN
1869,0,AFGHANISTAN
1870,0,AFGHANISTAN
1871,0,AFGHANISTAN
1872,0,AFGHANISTAN
1873,0,AFGHANISTAN
1874,0,AFGHANISTAN
1875,0,AFGHANISTAN
1876,0,AFGHANISTAN
1877,0,AFGHANISTAN
1878,0,AFGHANISTAN
1879,0,AFGHANISTAN
1880,0,AFGHANISTAN
1881,0,AFGHANISTAN
1882,0,AFGHANISTAN
1883,0,AFGHANISTAN
1884,0,AFGHANISTAN
1885,0,AFGHANISTAN
1886,0,AFGHANISTAN
1887,0,AFGHANISTAN
1888,0,AFGHANISTAN
1889,0,AFGHANISTAN
1890,0,AFGHANISTAN
1891,0,AFGHANISTAN
1892,0,AFGHANISTAN
1893,0,AFGHANISTAN
1894,0,AFGHANISTAN
1895,0,AFGHANISTAN
1896,0,AFGHANISTAN
1897,0,AFGHANISTAN
1898,0,AFGHANISTAN
1899,0,AFGHANISTAN
1900,0,AFGHANISTAN
1901,0,AFGHANISTAN
1902,0,AFGHANISTAN
1903,0,AFGHANISTAN
1904,0,AFGHANISTAN
1905,0,AFGHANISTAN
1906,0,AFGHANISTAN
1907,0,AFGHANISTAN
1908,0,AFGHANISTAN
1909,0,AFGHANISTAN
1910,0,AFGHANISTAN
1911,0,AFGHANISTAN
1912,0,AFGHANISTAN
1913,0,AFGHANISTAN
1914,0,AFGHANISTAN
1915,0,AFGHANISTAN
1916,0,AFGHANISTAN
1917,0,AFGHANISTAN
1918,0,AFGHANISTAN
1919,0,AFGHANISTAN
1920,0,AFGHANISTAN
1921,0,AFGHANISTAN
1922,0,AFGHANISTAN
1923,0,AFGHANISTAN
1924,0,AFGHANISTAN
1925,0,AFGHANISTAN
1926,0,AFGHANISTAN
1927,0,AFGHANISTAN
1928,0,AFGHANISTAN
1929,0,AFGHANISTAN
1930,0,AFGHANISTAN
1931,0,AFGHANISTAN
1932,0,AFGHANISTAN
1933,0,AFGHANISTAN
1934,0,AFGHANISTAN
1935,0,AFGHANISTAN
1936,0,AFGHANISTAN
1937,0,AFGHANISTAN
1938,0,AFGHANISTAN
1939,0,AFGHANISTAN
1940,0,AFGHANISTAN
1941,0,AFGHANISTAN
1942,0,AFGHANISTAN
1943,0,AFGHANISTAN
1944,0,AFGHANISTAN
1945,0,AFGHANISTAN
1946,0,AFGHANISTAN
1947,0,AFGHANISTAN
1948,0,AFGHANISTAN
1949,0,AFGHANISTAN
1950,0,AFGHANISTAN
1951,0,AFGHANISTAN
1952,0,AFGHANISTAN
1953,0,AFGHANISTAN
1954,0,AFGHANISTAN
1955,0,AFGHANISTAN
1956,10,AFGHANISTAN
1957,0,AFGHANISTAN
1958,0,AFGHANISTAN
1959,0,AFGHANISTAN
1960,0,AFGHANISTAN
1961,0,AFGHANISTAN
1962,0,AFGHANISTAN
1963,0,AFGHANISTAN
1964,0,AFGHANISTAN
1965,0,AFGHANISTAN
1966,0,AFGHANISTAN
1967,0,AFGHANISTAN
1968,0,AFGHANISTAN
1969,0,AFGHANISTAN
1970,0,AFGHANISTAN
1971,0,AFGHANISTAN
1972,0,AFGHANISTAN
1973,0,AFGHANISTAN
1974,0,AFGHANISTAN
1975,0,AFGHANISTAN
1976,0,AFGHANISTAN
1977,0,AFGHANISTAN
1978,0,AFGHANISTAN
1979,0,AFGHANISTAN
1980,0,AFGHANISTAN
1981,0,AFGHANISTAN
1982,0,AFGHANISTAN
1983,0,AFGHANISTAN
1984,0,AFGHANISTAN
1985,0,AFGHANISTAN
1986,0,AFGHANISTAN
1987,0,AFGHANISTAN
1988,0,AFGHANISTAN
1989,0,AFGHANISTAN
1990,0,AFGHANISTAN
1991,0,AFGHANISTAN
1992,0,AFGHANISTAN
1993,0,AFGHANISTAN
1994,0,AFGHANISTAN
1995,0,AFGHANISTAN
1996,0,AFGHANISTAN
1997,0,AFGHANISTAN
1998,0,AFGHANISTAN
1999,0,AFGHANISTAN
2000,0,AFGHANISTAN
2001,0,AFGHANISTAN
2002,0,AFGHANISTAN
2003,0,AFGHANISTAN
2004,0,AFGHANISTAN
2005,0,AFGHANISTAN
2006,0,AFGHANISTAN
2007,0,AFGHANISTAN
2008,0,AFGHANISTAN
2009,0,AFGHANISTAN
2010,0,AFGHANISTAN
2011,0,AFGHANISTAN
2012,0,AFGHANISTAN
2013,0,AFGHANISTAN
2014,0,AFGHANISTAN
1850,0,AFGHANISTAN
1851,0,AFGHANISTAN
1852,0,AFGHANISTAN
1853,0,AFGHANISTAN
1854,0,AFGHANISTAN
1855,0,AFGHANISTAN
1856,0,AFGHANISTAN
1857,0,AFGHANISTAN
1858,0,AFGHANISTAN
1859,0,AFGHANISTAN
1860,0,AFGHANISTAN
1861,0,AFGHANISTAN
1862,0,AFGHANISTAN
1863,0,AFGHANISTAN
1864,0,AFGHANISTAN
1865,0,AFGHANISTAN
1866,0,AFGHANISTAN
1867,0,AFGHANISTAN
1868,0,AFGHANISTAN
1869,0,AFGHANISTAN
1870,0,AFGHANISTAN
1871,0,AFGHANISTAN
1872,0,AFGHANISTAN
1873,0,AFGHANISTAN
1874,0,AFGHANISTAN
1875,0,AFGHANISTAN
1876,0,AFGHANISTAN
1877,0,AFGHANISTAN
1878,0,AFGHANISTAN
1879,0,AFGHANISTAN
1880,0,AFGHANISTAN
1881,0,AFGHANISTAN
1882,0,AFGHANISTAN
1883,0,AFGHANISTAN
1884,0,AFGHANISTAN
1885,0,AFGHANISTAN
1886,0,AFGHANISTAN
1887,0,AFGHANISTAN
1888,0,AFGHANISTAN
1889,0,AFGHANISTAN
1890,0,AFGHANISTAN
1891,0,AFGHANISTAN
1892,0,AFGHANISTAN
1893,0,AFGHANISTAN
1894,0,AFGHANISTAN
1895,0,AFGHANISTAN
1896,0,AFGHANISTAN
1897,0,AFGHANISTAN
1898,0,AFGHANISTAN
1899,0,AFGHANISTAN
1900,0,AFGHANISTAN
1901,0,AFGHANISTAN
1902,0,AFGHANISTAN
1903,0,AFGHANISTAN
1904,0,AFGHANISTAN
1905,0,AFGHANISTAN
1906,0,AFGHANISTAN
1907,0,AFGHANISTAN
1908,0,AFGHANISTAN
1909,0,AFGHANISTAN
1910,0,AFGHANISTAN
1911,0,AFGHANISTAN
1912,0,AFGHANISTAN
1913,0,AFGHANISTAN
1914,0,AFGHANISTAN
1915,0,AFGHANISTAN
1916,0,AFGHANISTAN
1917,0,AFGHANISTAN
1918,0,AFGHANISTAN
1919,0,AFGHANISTAN
1920,0,AFGHANISTAN
1921,0,AFGHANISTAN
1922,0,AFGHANISTAN
1923,0,AFGHANISTAN
1924,0,AFGHANISTAN
1925,0,AFGHANISTAN
1926,0,AFGHANISTAN
1927,0,AFGHANISTAN
1928,0,AFGHANISTAN
1929,0,AFGHANISTAN
1930,0,AFGHANISTAN
1931,0,AFGHANISTAN
1932,0,AFGHANISTAN
1933,0,AFGHANISTAN
1934,0,AFGHANISTAN
1935,0,AFGHANISTAN
1936,0,AFGHANISTAN
1937,0,AFGHANISTAN
1938,0,AFGHANISTAN
1939,0,AFGHANISTAN
1940,0,AFGHANISTAN
1941,0,AFGHANISTAN
1942,0,AFGHANISTAN
1943,0,AFGHANISTAN
1944,0,AFGHANISTAN
1945,0,AFGHANISTAN
1946,0,AFGHANISTAN
1947,0,AFGHANISTAN
1948,0,AFGHANISTAN
1949,0,AFGHANISTAN
1950,0,AFGHANISTAN
1951,0,AFGHANISTAN
1952,0,AFGHANISTAN
1953,0,AFGHANISTAN
1954,0,AFGHANISTAN
1955,0,AFGHANISTAN
1956,0,AFGHANISTAN
1957,10,AFGHANISTAN
1958,0,AFGHANISTAN
1959,0,AFGHANISTAN
1960,0,AFGHANISTAN
1961,0,AFGHANISTAN
1962,0,AFGHANISTAN
1963,0,AFGHANISTAN
1964,0,AFGHANISTAN
1965,0,AFGHANISTAN
1966,0,AFGHANISTAN
1967,0,AFGHANISTAN
1968,0,AFGHANISTAN
1969,0,AFGHANISTAN
1970,0,AFGHANISTAN
1971,0,AFGHANISTAN
1972,0,AFGHANISTAN
1973,0,AFGHANISTAN
1974,0,AFGHANISTAN
1975,0,AFGHANISTAN
1976,0,AFGHANISTAN
1977,0,AFGHANISTAN
1978,0,AFGHANISTAN
1979,0,AFGHANISTAN
1980,0,AFGHANISTAN
1981,0,AFGHANISTAN
1982,0,AFGHANISTAN
1983,0,AFGHANISTAN
1984,0,AFGHANISTAN
1985,0,AFGHANISTAN
1986,0,AFGHANISTAN
1987,0,AFGHANISTAN
1988,0,AFGHANISTAN
1989,0,AFGHANISTAN
1990,0,AFGHANISTAN
1991,0,AFGHANISTAN
1992,0,AFGHANISTAN
1993,0,AFGHANISTAN
1994,0,AFGHANISTAN
1995,0,AFGHANISTAN
1996,0,AFGHANISTAN
1997,0,AFGHANISTAN
1998,0,AFGHANISTAN
1999,0,AFGHANISTAN
2000,0,AFGHANISTAN
2001,0,AFGHANISTAN
2002,0,AFGHANISTAN
2003,0,AFGHANISTAN
2004,0,AFGHANISTAN
2005,0,AFGHANISTAN
2006,0,AFGHANISTAN
2007,0,AFGHANISTAN
2008,0,AFGHANISTAN
2009,0,AFGHANISTAN
2010,0,AFGHANISTAN
2011,0,AFGHANISTAN
2012,0,AFGHANISTAN
2013,0,AFGHANISTAN
2014,0,AFGHANISTAN
1850,0,AFGHANISTAN
1851,0,AFGHANISTAN
1852,0,AFGHANISTAN
1853,0,AFGHANISTAN
1854,0,AFGHANISTAN
1855,0,AFGHANISTAN
1856,0,AFGHANISTAN
1857,0,AFGHANISTAN
1858,0,AFGHANISTAN
1859,0,AFGHANISTAN
1860,0,AFGHANISTAN
1861,0,AFGHANISTAN
1862,0,AFGHANISTAN
1863,0,AFGHANISTAN
1864,0,AFGHANISTAN
1865,0,AFGHANISTAN
1866,0,AFGHANISTAN
1867,0,AFGHANISTAN
1868,0,AFGHANISTAN
1869,0,AFGHANISTAN
1870,0,AFGHANISTAN
1871,0,AFGHANISTAN
1872,0,AFGHANISTAN
1873,0,AFGHANISTAN
1874,0,AFGHANISTAN
1875,0,AFGHANISTAN
1876,0,AFGHANISTAN
1877,0,AFGHANISTAN
1878,0,AFGHANISTAN
1879,0,AFGHANISTAN
1880,0,AFGHANISTAN
1881,0,AFGHANISTAN
1882,0,AFGHANISTAN
1883,0,AFGHANISTAN
1884,0,AFGHANISTAN
1885,0,AFGHANISTAN
1886,0,AFGHANISTAN
1887,0,AFGHANISTAN
1888,0,AFGHANISTAN
1889,0,AFGHANISTAN
1890,0,AFGHANISTAN
1891,0,AFGHANISTAN
1892,0,AFGHANISTAN
1893,0,AFGHANISTAN
1894,0,AFGHANISTAN
1895,0,AFGHANISTAN
1896,0,AFGHANISTAN
1897,0,AFGHANISTAN
1898,0,AFGHANISTAN
1899,0,AFGHANISTAN
1900,0,AFGHANISTAN
1901,0,AFGHANISTAN
1902,0,AFGHANISTAN
1903,0,AFGHANISTAN
1904,0,AFGHANISTAN
1905,0,AFGHANISTAN
1906,0,AFGHANISTAN
1907,0,AFGHANISTAN
1908,0,AFGHANISTAN
1909,0,AFGHANISTAN
1910,0,AFGHANISTAN
1911,0,AFGHANISTAN
1912,0,AFGHANISTAN
1913,0,AFGHANISTAN
1914,0,AFGHANISTAN
1915,0,AFGHANISTAN
1916,0,AFGHANISTAN
1917,0,AFGHANISTAN
1918,0,AFGHANISTAN
1919,0,AFGHANISTAN
1920,0,AFGHANISTAN
1921,0,AFGHANISTAN
1922,0,AFGHANISTAN
1923,0,AFGHANISTAN
1924,0,AFGHANISTAN
1925,0,AFGHANISTAN
1926,0,AFGHANISTAN
1927,0,AFGHANISTAN
1928,0,AFGHANISTAN
1929,0,AFGHANISTAN
1930,0,AFGHANISTAN
1931,0,AFGHANISTAN
1932,0,AFGHANISTAN
1933,0,AFGHANISTAN
1934,0,AFGHANISTAN
1935,0,AFGHANISTAN
1936,0,AFGHANISTAN
1937,0,AFGHANISTAN
1938,0,AFGHANISTAN
1939,0,AFGHANISTAN
1940,0,AFGHANISTAN
1941,0,AFGHANISTAN
1942,0,AFGHANISTAN
1943,0,AFGHANISTAN
1944,0,AFGHANISTAN
1945,0,AFGHANISTAN
1946,0,AFGHANISTAN
1947,0,AFGHANISTAN
1948,0,AFGHANISTAN
1949,0,AFGHANISTAN
1950,0,AFGHANISTAN
1951,0,AFGHANISTAN
1952,0,AFGHANISTAN
1953,0,AFGHANISTAN
1954,0,AFGHANISTAN
1955,0,AFGHANISTAN
1956,0,AFGHANISTAN
1957,0,AFGHANISTAN
1958,10,AFGHANISTAN
1959,0,AFGHANISTAN
1960,0,AFGHANISTAN
1961,0,AFGHANISTAN
1962,0,AFGHANISTAN
1963,0,AFGHANISTAN
1964,0,AFGHANISTAN
1965,0,AFGHANISTAN
1966,0,AFGHANISTAN
1967,0,AFGHANISTAN
1968,0,AFGHANISTAN
1969,0,AFGHANISTAN
1970,0,AFGHANISTAN
1971,0,AFGHANISTAN
1972,0,AFGHANISTAN
1973,0,AFGHANISTAN
1974,0,AFGHANISTAN
1975,0,AFGHANISTAN
1976,0,AFGHANISTAN
1977,0,AFGHANISTAN
1978,0,AFGHANISTAN
1979,0,AFGHANISTAN
1980,0,AFGHANISTAN
1981,0,AFGHANISTAN
1982,0,AFGHANISTAN
1983,0,AFGHANISTAN
1984,0,AFGHANISTAN
1985,0,AFGHANISTAN
1986,0,AFGHANISTAN
1987,0,AFGHANISTAN
1988,0,AFGHANISTAN
1989,0,AFGHANISTAN
1990,0,AFGHANISTAN
1991,0,AFGHANISTAN
1992,0,AFGHANISTAN
1993,0,AFGHANISTAN
1994,0,AFGHANISTAN
1995,0,AFGHANISTAN
1996,0,AFGHANISTAN
1997,0,AFGHANISTAN
1998,0,AFGHANISTAN
1999,0,AFGHANISTAN
2000,0,AFGHANISTAN
2001,0,AFGHANISTAN
2002,0,AFGHANISTAN
2003,0,AFGHANISTAN
2004,0,AFGHANISTAN
2005,0,AFGHANISTAN
2006,0,AFGHANISTAN
2007,0,AFGHANISTAN
2008,0,AFGHANISTAN
2009,0,AFGHANISTAN
2010,0,AFGHANISTAN
2011,0,AFGHANISTAN
2012,0,AFGHANISTAN
2013,0,AFGHANISTAN
2014,0,AFGHANISTAN
1850,0,AFGHANISTAN
1851,0,AFGHANISTAN
1852,0,AFGHANISTAN
1853,0,AFGHANISTAN
1854,0,AFGHANISTAN
1855,0,AFGHANISTAN
1856,0,AFGHANISTAN
1857,0,AFGHANISTAN
1858,0,AFGHANISTAN
1859,0,AFGHANISTAN
1860,0,AFGHANISTAN
1861,0,AFGHANISTAN
1862,0,AFGHANISTAN
1863,0,AFGHANISTAN
1864,0,AFGHANISTAN
1865,0,AFGHANISTAN
1866,0,AFGHANISTAN
1867,0,AFGHANISTAN
1868,0,AFGHANISTAN
1869,0,AFGHANISTAN
1870,0,AFGHANISTAN
1871,0,AFGHANISTAN
1872,0,AFGHANISTAN
1873,0,AFGHANISTAN
1874,0,AFGHANISTAN
1875,0,AFGHANISTAN
1876,0,AFGHANISTAN
1877,0,AFGHANISTAN
1878,0,AFGHANISTAN
1879,0,AFGHANISTAN
1880,0,AFGHANISTAN
1881,0,AFGHANISTAN
1882,0,AFGHANISTAN
1883,0,AFGHANISTAN
1884,0,AFGHANISTAN
1885,0,AFGHANISTAN
1886,0,AFGHANISTAN
1887,0,AFGHANISTAN
1888,0,AFGHANISTAN
1889,0,AFGHANISTAN
1890,0,AFGHANISTAN
1891,0,AFGHANISTAN
1892,0,AFGHANISTAN
1893,0,AFGHANISTAN
1894,0,AFGHANISTAN
1895,0,AFGHANISTAN
1896,0,AFGHANISTAN
1897,0,AFGHANISTAN
1898,0,AFGHANISTAN
1899,0,AFGHANISTAN
1900,0,AFGHANISTAN
1901,0,AFGHANISTAN
1902,0,AFGHANISTAN
1903,0,AFGHANISTAN
1904,0,AFGHANISTAN
1905,0,AFGHANISTAN
1906,0,AFGHANISTAN
1907,0,AFGHANISTAN
1908,0,AFGHANISTAN
1909,0,AFGHANISTAN
1910,0,AFGHANISTAN
1911,0,AFGHANISTAN
1912,0,AFGHANISTAN
1913,0,AFGHANISTAN
1914,0,AFGHANISTAN
1915,0,AFGHANISTAN
1916,0,AFGHANISTAN
1917,0,AFGHANISTAN
1918,0,AFGHANISTAN
1919,0,AFGHANISTAN
1920,0,AFGHANISTAN
1921,0,AFGHANISTAN
1922,0,AFGHANISTAN
1923,0,AFGHANISTAN
1924,0,AFGHANISTAN
1925,0,AFGHANISTAN
1926,0,AFGHANISTAN
1927,0,AFGHANISTAN
1928,0,AFGHANISTAN
1929,0,AFGHANISTAN
1930,0,AFGHANISTAN
1931,0,AFGHANISTAN
1932,0,AFGHANISTAN
1933,0,AFGHANISTAN
1934,0,AFGHANISTAN
1935,0,AFGHANISTAN
1936,0,AFGHANISTAN
1937,0,AFGHANISTAN
1938,0,AFGHANISTAN
1939,0,AFGHANISTAN
1940,0,AFGHANISTAN
1941,0,AFGHANISTAN
1942,0,AFGHANISTAN
1943,0,AFGHANISTAN
1944,0,AFGHANISTAN
1945,0,AFGHANISTAN
1946,0,AFGHANISTAN
1947,0,AFGHANISTAN
1948,0,AFGHANISTAN
1949,0,AFGHANISTAN
1950,0,AFGHANISTAN
1951,0,AFGHANISTAN
1952,0,AFGHANISTAN
1953,0,AFGHANISTAN
1954,0,AFGHANISTAN
1955,0,AFGHANISTAN
1956,0,AFGHANISTAN
1957,0,AFGHANISTAN
1958,0,AFGHANISTAN
1959,10,AFGHANISTAN
1960,0,AFGHANISTAN
1961,0,AFGHANISTAN
1962,0,AFGHANISTAN
1963,0,AFGHANISTAN
1964,0,AFGHANISTAN
1965,0,AFGHANISTAN
1966,0,AFGHANISTAN
1967,0,AFGHANISTAN
1968,0,AFGHANISTAN
1969,0,AFGHANISTAN
1970,0,AFGHANISTAN
1971,0,AFGHANISTAN
1972,0,AFGHANISTAN
1973,0,AFGHANISTAN
1974,0,AFGHANISTAN
1975,0,AFGHANISTAN
1976,0,AFGHANISTAN
1977,0,AFGHANISTAN
1978,0,AFGHANISTAN
1979,0,AFGHANISTAN
1980,0,AFGHANISTAN
1981,0,AFGHANISTAN
1982,0,AFGHANISTAN
1983,0,AFGHANISTAN
1984,0,AFGHANISTAN
1985,0,AFGHANISTAN
1986,0,AFGHANISTAN
1987,0,AFGHANISTAN
1988,0,AFGHANISTAN
1989,0,AFGHANISTAN
1990,0,AFGHANISTAN
1991,0,AFGHANISTAN
1992,0,AFGHANISTAN
1993,0,AFGHANISTAN
1994,0,AFGHANISTAN
1995,0,AFGHANISTAN
1996,0,AFGHANISTAN
1997,0,AFGHANISTAN
1998,0,AFGHANISTAN
1999,0,AFGHANISTAN
2000,0,AFGHANISTAN
2001,0,AFGHANISTAN
2002,0,AFGHANISTAN
2003,0,AFGHANISTAN
2004,0,AFGHANISTAN
2005,0,AFGHANISTAN
2006,0,AFGHANISTAN
2007,0,AFGHANISTAN
2008,0,AFGHANISTAN
2009,0,AFGHANISTAN
2010,0,AFGHANISTAN
2011,0,AFGHANISTAN
2012,0,AFGHANISTAN
2013,0,AFGHANISTAN
2014,0,AFGHANISTAN
1850,0,AFGHANISTAN
1851,0,AFGHANISTAN
1852,0,AFGHANISTAN
1853,0,AFGHANISTAN
1854,0,AFGHANISTAN
1855,0,AFGHANISTAN
1856,0,AFGHANISTAN
1857,0,AFGHANISTAN
1858,0,AFGHANISTAN
1859,0,AFGHANISTAN
1860,0,AFGHANISTAN
1861,0,AFGHANISTAN
1862,0,AFGHANISTAN
1863,0,AFGHANISTAN
1864,0,AFGHANISTAN
1865,0,AFGHANISTAN
1866,0,AFGHANISTAN
1867,0,AFGHANISTAN
1868,0,AFGHANISTAN
1869,0,AFGHANISTAN
1870,0,AFGHANISTAN
1871,0,AFGHANISTAN
1872,0,AFGHANISTAN
1873,0,AFGHANISTAN
1874,0,AFGHANISTAN
1875,0,AFGHANISTAN
1876,0,AFGHANISTAN
1877,0,AFGHANISTAN
1878,0,AFGHANISTAN
1879,0,AFGHANISTAN
1880,0,AFGHANISTAN
1881,0,AFGHANISTAN
1882,0,AFGHANISTAN
1883,0,AFGHANISTAN
1884,0,AFGHANISTAN
1885,0,AFGHANISTAN
1886,0,AFGHANISTAN
1887,0,AFGHANISTAN
1888,0,AFGHANISTAN
1889,0,AFGHANISTAN
1890,0,AFGHANISTAN
1891,0,AFGHANISTAN
1892,0,AFGHANISTAN
1893,0,AFGHANISTAN
1894,0,AFGHANISTAN
1895,0,AFGHANISTAN
1896,0,AFGHANISTAN
1897,0,AFGHANISTAN
1898,0,AFGHANISTAN
